"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"DK","DNK","Denmark",2020,7.30734632683658,0,168.815592203898,219.04047976012,77.6611694152923,2248.87556221889,0,260.554722638681,1,74.9625187406297,10,202.533733133433,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE","EST","Estonia",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976775648252536,30.53,30,16.67,77.2,4.28410372040586,NA,NA,NA,NA,NA,NA
"EE","EST","Estonia",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958407079646018,30.53,30,16.67,77.2,4.20353982300885,NA,NA,NA,NA,NA,NA
"EE","EST","Estonia",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.652897854627,40.9862311879603,53.4796893667861,36.8130227001195,58.3756345177665,41.7089678510998
"EE","EST","Estonia",2018,19.0112359550562,NA,166.089887640449,166.089887640449,94.8426966292135,2817.97752808989,0,78.0898876404494,30,169.662921348315,10,86.3370786516854,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE","EST","Estonia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.946117274168,44.6117274167987,61.25,44.0178571428571,23.2336956521739,6.56702898550725
"EE","EST","Estonia",2020,14.2696629213483,NA,166.089887640449,166.089887640449,71.1797752808989,2113.48314606742,0,92.0786516853933,30,169.662921348315,10,100.707865168539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES","ESP","Spain",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18707440811725,9.94,51,17.36,78.29,5.46786922209696,NA,NA,NA,NA,NA,NA
"ES","ESP","Spain",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16475110619469,9.94,51,17.36,78.29,5.36504424778761,NA,NA,NA,NA,NA,NA
"ES","ESP","Spain",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9656123289795,37.610240428153,49.9688971829734,32.613525282147,30.6803209965265,13.3249490957001
